ID,original_glossary_extracted,key_phrase,extracted_acronym_1,extracted_acronym_2,definition_or_explanation,source_book
126,Credit Contagion The tendency of a default by one company to lead to defaults by other companies. ,Credit Contagion,,,The tendency of a default by one company to lead to defaults by other companies.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
127,Credit Default Swap An instrument that gives the holder the right to sell a bond for its face value in the event of a default by the issuer. ,Credit Default Swap,,,An instrument that gives the holder the right to sell a bond for its face value in the event of a default by the issuer.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
128,Credit Derivative A derivative whose payoff depends on the creditworthiness of one or more companies or countries. ,Credit Derivative,,,A derivative whose payoff depends on the creditworthiness of one or more companies or countries.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
129,"Credit Event Event, such as a default or reorganization, triggering a payout on a credit derivative. ",Credit Event Event,,,", such as a default or reorganization , triggering a payout on a credit derivative.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
130,Credit Event Binary Option Exchange-traded option that provides a fixed payoff if a reference entity suffers a credit event. ,Credit Event Binary Option,,,Exchange-traded option that provides a fixed payoff if a reference entity suffers a credit event.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
131,"Credit Index Index that tracks the cost of buying protection for each company in a portfolio (e.g., CDX NA IG and iTraxx Europe). ",Credit Index,,,"Index that tracks the cost of buying protection for each company in a portfolio (e.g. , CDX NA IG and iTraxx Europe).","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
132,Credit Rating A measure of the creditworthiness of a bond issue. ,Credit Rating,,,A measure of the creditworthiness of a bond issue.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
133,Credit Ratings Transition Matrix A table showing the probability that a company will move from one credit rating to another during a certain period of time. ,Credit Ratings Transition Matrix,,,A table showing the probability that a company will move from one credit rating to another during a certain period of time.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
134,Credit Risk The risk that a loss will be experienced because of a default by the counterparty in a derivatives transaction. ,Credit Risk,,,The risk that a loss will be experienced because of a default by the counterparty in a derivatives transaction.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
135,Credit Spread Option Option whose payoff depends on the spread between the yields earned on two assets. ,Credit Spread Option,,,Option whose payoff depends on the spread between the yields earned on two assets.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
136,Credit Support Annex (CSA) Part of ISDA Master Agreement dealing with collateral requirements. ,Credit Support Annex,CSA,,Part of ISDA Master Agreement dealing with collateral requirements.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
137,Credit Value Adjustment Adjustment to value of derivatives outstanding with a counterparty to reflect the counterparty's default risk. ,Credit Value Adjustment,,,Adjustment to value of derivatives outstanding with a counterparty to reflect the counterparty 's default risk.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
138,Credit Value at Risk The credit loss that will not be exceeded at some specified confidence level. ,Credit,,,Value at Risk The credit loss that will not be exceeded at some specified confidence level.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
139,CreditMetrics A procedure for calculating credit value at risk. ,CreditMetrics,,,A procedure for calculating credit value at risk.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
140,Cross Hedging Hedging an exposure to the price of one asset with a contract on another asset. ,Cross Hedging,,,Hedging an exposure to the price of one asset with a contract on another asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
141,Cumulative Distribution Function The probability that a variable will be less than x as a function of x. ,Cumulative Distribution Function,,,The probability that a variable will be less than x as a function of x.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
142,Currency Swap A swap where interest and principal in one currency are exchanged for interest and principal in another currency. ,Currency Swap,,,A swap where interest and principal in one currency are exchanged for interest and principal in another currency.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
143,CVA See Credit Value Adjustment. ,CVA,,,See Credit Value Adjustment. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
144,Day Count A convention for quoting interest rates. ,Day Count,,,A convention for quoting interest rates.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
145,Day Trade A trade that is entered into and closed out on the same day. ,Day Trade,,,A trade that is entered into and closed out on the same day.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
146,Debt (or Debit) Value Adjustment Value to a company of the fact that it might default on outstanding derivatives transactions. ,Debt,,,(or Debit) Value Adjustment Value to a company of the fact that it might default on outstanding derivatives transactions.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
147,Default Correlation Measures the tendency of two companies to default at about the same time. ,Default Correlation,,,Measures the tendency of two companies to default at about the same time.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
148,Default Intensity See Hazard Rate. ,Default Intensity,,,See Hazard Rate. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
149,Default Probability Density Measures the unconditional probability of default in a future short period of time. ,Default Probability Density,,,Measures the unconditional probability of default in a future short period of time.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
150,Deferred Payment Option An option where the price paid is deferred until the end of the option's life. ,Deferred Payment Option,,,An option where the price paid is deferred until the end of the option 's life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
151,Deferred Swap An agreement to enter into a swap at some time in the future (also called a forward swap). ,Deferred Swap,,,An agreement to enter into a swap at some time in the future (also called a forward swap).,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
152,Delivery Price Price agreed to (possibly some time in the past) in a forward contract. ,Delivery Price,,,Price agreed to (possibly some time in the past) in a forward contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
153,Delta The rate of change of the price of a derivative with the price of the underlying asset. ,Delta,,,The rate of change of the price of a derivative with the price of the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
154,Delta Hedging A hedging scheme that is designed to make the price of a portfolio of derivatives insensitive to small changes in the price of the underlying asset. ,Delta Hedging,,,A hedging scheme that is designed to make the price of a portfolio of derivatives insensitive to small changes in the price of the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
155,Delta-Neutral Portfolio A portfolio with a delta of zero so that there is no sensitivity to small changes in the price of the underlying asset. ,Delta-Neutral Portfolio,,,A portfolio with a delta of zero so that there is no sensitivity to small changes in the price of the underlying asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
156,DerivaGem The software accompanying this book. ,DerivaGem,,,The software accompanying this book.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
157,"Derivative An instrument whose price depends on, or is derived from, the price of another asset. ",Derivative,,,"An instrument whose price depends on , or is derived from , the price of another asset.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
158,Deterministic Variable A variable whose future value is known. ,Deterministic Variable,,,A variable whose future value is known.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
159,Diagonal Spread A position in two calls where both the strike prices and times to maturity are different. (A diagonal spread can also be created with put options.) ,Diagonal Spread,,,A position in two calls where both the strike prices and times to maturity are different. (A diagonal spread can also be created with put options.),"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
160,Differential Swap A swap where a floating rate in one currency is exchanged for a floating rate in another currency and both rates are applied to the same principal. ,Differential Swap,,,A swap where a floating rate in one currency is exchanged for a floating rate in another currency and both rates are applied to the same principal.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
161,Diffusion Process Model where value of asset changes continuously (no jumps). ,Diffusion Process,,,Model where value of asset changes continuously (no jumps).,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
162,Dirty Price of Bond Cash price of bond. ,Dirty Price of Bond,,,Cash price of bond.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
163,Discount Bond See Zero-Coupon Bond. ,Discount Bond,,,See Zero-Coupon Bond. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
164,"Discount Instrument An instrument, such as a Treasury bill, that provides no coupons. ",Discount Instrument,,,"An instrument , such as a Treasury bill , that provides no coupons.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
165,Diversification Reducing risk by dividing a portfolio between many different assets. ,Diversification,,,Reducing risk by dividing a portfolio between many different assets.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
166,Dividend A cash payment made to the owner of a stock. ,Dividend,,,A cash payment made to the owner of a stock.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
167,Dividend Yield The dividend as a percentage of the stock price. ,Dividend Yield,,,The dividend as a percentage of the stock price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
168,"Dodd-Frank Act An act introduced in the United States in 2010 designed to protect consumers and investors, avoid future bailouts, and monitor the functioning of the ",Dodd-Frank Act,,,"An act introduced in the United States in 2010 designed to protect consumers and investors , avoid future bailouts , and monitor the functioning of the","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
169,Dollar Duration The product of a bond's modified duration and the bond price. ,Dollar Duration,,,The product of a bond 's modified duration and the bond price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
170,DOOM Option Deep-out-of-the-money put option. ,DOOM Option,,,Deep-out-of-the-money put option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
171,Down-and-In Option An option that comes into existence when the price of the underlying asset declines to a prespecified level. ,Down-and-In Option,,,An option that comes into existence when the price of the underlying asset declines to a prespecified level.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
172,Down-and-Out Option An option that ceases to exist when the price of the under- lying asset declines to a prespecified level. ,Down-and-Out Option,,,An option that ceases to exist when the price of the under- lying asset declines to a prespecified level.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
173,Downgrade Trigger A clause in a contract that states that the contract will be terminated with a cash settlement if the credit rating of one side falls below a certain ,Downgrade Trigger,,,A clause in a contract that states that the contract will be terminated with a cash settlement if the credit rating of one side falls below a certain,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
174,Drift Rate The average increase per unit of time in a stochastic variable. ,Drift Rate,,,The average increase per unit of time in a stochastic variable.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
175,Duration A measure of the average life a bond. It is also an approximation to the ratio of the proportional change in the bond price to the absolute change in its yield. ,Duration,,,A measure of the average life a bond. It is also an approximation to the ratio of the proportional change in the bond price to the absolute change in its yield.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
176,Duration Matching A procedure for matching the durations of assets and liabilities in a financial institution. ,Duration Matching,,,A procedure for matching the durations of assets and liabilities in a financial institution.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
177,DV01 The dollar value of a 1-basis-point increase in all interest rates. ,DV01,,,The dollar value of a 1-basis-point increase in all interest rates.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
178,DVA See Debt (or Debit) Value Adjustment. ,DVA,,,See Debt (or Debit) Value Adjustment.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
179,Dynamic Hedging A procedure for hedging an option position by periodically changing the position held in the underlying asset. The objective is usually to ,Dynamic Hedging,,,A procedure for hedging an option position by periodically changing the position held in the underlying asset. The objective is usually to,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
180,Early Exercise Exercise prior to the maturity date. ,Early Exercise,,,Exercise prior to the maturity date.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
181,Effective Federal Funds Rate Weighted average federal funds rate for brokered transactions. ,Effective Federal Funds Rate,,,Weighted average federal funds rate for brokered transactions.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
182,Efficient Market Hypothesis A hypothesis that asset prices reflect relevant information. ,Efficient Market Hypothesis,,,A hypothesis that asset prices reflect relevant information.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
183,Electronic Trading System of trading where a computer is used to match buyers and sellers. ,Electronic Trading,,,System of trading where a computer is used to match buyers and sellers.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
184,Embedded Option An option that is an inseparable part of another instrument. ,Embedded Option,,,An option that is an inseparable part of another instrument.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
185,Empirical Research Research based on historical market data. ,Empirical Research,,,Research based on historical market data.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
186,Employee Stock Option A stock option issued by company on its own stock and given to its employees as part of their remuneration. ,Employee Stock Option,,,A stock option issued by company on its own stock and given to its employees as part of their remuneration.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
187,Equilibrium Model A model for the behavior of interest rates derived from a model of the economy. ,Equilibrium Model,,,A model for the behavior of interest rates derived from a model of the economy.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
188,Equity Swap A swap where the return on an equity portfolio is exchanged for either a fixed or a floating rate of interest. ,Equity Swap,,,A swap where the return on an equity portfolio is exchanged for either a fixed or a floating rate of interest.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
189,Equity Tranche The tranche that first absorbs losses. ,Equity Tranche,,,The tranche that first absorbs losses.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
190,Equivalent Annual Interest Rate Interest rate with annual compounding. ,Equivalent Annual Interest Rate,,,Interest rate with annual compounding.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
191,Euribor Rate in the interbank market between banks in the Eurozone. ,Euribor,,,Rate in the interbank market between banks in the Eurozone.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
192,Eurocurrency A currency that is outside the formal control of the issuing country's monetary authorities. ,Eurocurrency,,,A currency that is outside the formal control of the issuing country 's monetary authorities.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
193,Eurodollar A dollar held in a bank outside the United States. ,Eurodollar,,,A dollar held in a bank outside the United States.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
194,Eurodollar Futures Contract A futures contract written on a Eurodollar deposit. ,Eurodollar Futures Contract,,,A futures contract written on a Eurodollar deposit.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
195,Eurodollar Interest Rate The interest rate on a Eurodollar deposit. ,Eurodollar Interest Rate,,,The interest rate on a Eurodollar deposit.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
196,Euro LIBOR London interbank offered rate for euros. ,Euro LIBOR,,,London interbank offered rate for euros.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
197,European Option An option that can be exercised only at the end of its life. ,European Option,,,An option that can be exercised only at the end of its life.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
198,EWMA Exponentially weighted moving average. ,EWMA,,,Exponentially weighted moving average.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
199,Exchange Option An option to exchange one asset for another. ,Exchange Option,,,An option to exchange one asset for another.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
200,"Ex-dividend Date When a dividend is declared, an ex-dividend date is specified. Investors who own shares of the stock just before the ex-dividend date receive the ",Ex-dividend Date,,,"When a dividend is declared , an ex-dividend date is specified. Investors who own shares of the stock just before the ex-dividend date receive the","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
201,Exercise Limit Maximum number of option contracts that can be exercised within a five-day period. ,Exercise Limit,,,Maximum number of option contracts that can be exercised within a five-day period.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
202,Exercise Multiple Ratio of stock price to strike price at time of exercise for employee stock option. ,Exercise Multiple,,,Ratio of stock price to strike price at time of exercise for employee stock option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
203,Exercise Price The price at which the underlying asset may be bought or sold in an option contract (also called the strike price). ,Exercise Price,,,The price at which the underlying asset may be bought or sold in an option contract (also called the strike price).,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
204,Exotic Option A nonstandard option. ,Exotic Option,,,A nonstandard option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
205,Expectations Theory The theory that forward interest rates equal expected future spot interest rates. ,Expectations Theory,,,The theory that forward interest rates equal expected future spot interest rates.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
206,Expected Shortfall See Conditional Value at Risk. ,Expected Shortfall,,,See Conditional Value at Risk.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
207,Expected Value of a Variable The average value of the variable obtained by weighting the alternative values by their probabilities. ,Expected Value of a Variable,,,The average value of the variable obtained by weighting the alternative values by their probabilities.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
208,Expiration Date The end of life of a contract. ,Expiration Date,,,The end of life of a contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
209,Explicit Finite Difference Method A method for valuing a derivative by solving the underlying differential equation. The value of the derivative at time t is related to ,Explicit Finite Difference Method,,,A method for valuing a derivative by solving the underlying differential equation. The value of the derivative at time t is related to,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
210,Exponential Weighting A weighting scheme where the weight given to an observation depends on how recent it is. The weight given to an observation i time periods ago is ,Exponential Weighting,,,A weighting scheme where the weight given to an observation depends on how recent it is. The weight given to an observation i time periods ago is,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
211,Extendable Bond A bond whose life can be extended at the option of the holder. ,Extendable Bond,,,A bond whose life can be extended at the option of the holder.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
212,Extendable Swap A swap whose life can be extended at the option of one side to the contract. ,Extendable Swap,,,A swap whose life can be extended at the option of one side to the contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
213,Factor Source of uncertainty. ,Factor,,,Source of uncertainty.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
214,Factor analysis An analysis aimed at finding a small number of factors that describe most of the variation in a large number of correlated variables (similar to a principal ,Factor analysis,,,An analysis aimed at finding a small number of factors that describe most of the variation in a large number of correlated variables (similar to a principal,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
215,FAS 123 Accounting standard in United States relating to employee stock options. ,FAS 123,,,Accounting standard in United States relating to employee stock options.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
216,FAS 133 Accounting standard in United States relating to instruments used for hedging. ,FAS 133,,,Accounting standard in United States relating to instruments used for hedging.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
217,Federal Funds Rate Overnight interbank borrowing rate. ,Federal Funds Rate,,,Overnight interbank borrowing rate.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
218,FICO A credit score developed by Fair Isaac Corporation. ,FICO,,,A credit score developed by Fair Isaac Corporation.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
219,Financial Intermediary A bank or other financial institution that facilitates the flow of funds between different entities in the economy. ,Financial Intermediary,,,A bank or other financial institution that facilitates the flow of funds between different entities in the economy.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
220,Finite Difference Method A method for solving a differential equation. ,Finite Difference Method,,,A method for solving a differential equation.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
221,Flat Volatility The name given to volatility used to price a cap when the same volatility is used for each caplet. ,Flat Volatility,,,The name given to volatility used to price a cap when the same volatility is used for each caplet.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
222,Flex Option An option traded on an exchange with terms that are different from the standard options traded by the exchange. ,Flex Option,,,An option traded on an exchange with terms that are different from the standard options traded by the exchange.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
223,Flexi Cap Interest rate cap where there is a limit on the total number of caplets that can be exercised. ,Flexi Cap,,,Interest rate cap where there is a limit on the total number of caplets that can be exercised.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
224,Floor See Interest Rate Floor. ,Floor,,,See Interest Rate Floor. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
225,Floor-Ceiling Agreement See Collar. ,Floor-Ceiling Agreement,,,See Collar. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
226,Floorlet One component of a floor. ,Floorlet,,,One component of a floor.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
227,Floor Rate The rate in an interest rate floor agreement. ,Floor Rate,,,The rate in an interest rate floor agreement.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
228,Foreign Currency Option An option on a foreign exchange rate. ,Foreign Currency Option,,,An option on a foreign exchange rate.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
229,Forward Contract A contract that obligates the holder to buy or sell an asset for a predetermined delivery price at a predetermined future time. ,Forward Contract,,,A contract that obligates the holder to buy or sell an asset for a predetermined delivery price at a predetermined future time.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
230,Forward Exchange Rate The forward price of one unit of a foreign currency. ,Forward Exchange Rate,,,The forward price of one unit of a foreign currency.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
231,Forward Interest Rate The interest rate for a future period of time implied by the rates prevailing in the market today. ,Forward Interest Rate,,,The interest rate for a future period of time implied by the rates prevailing in the market today.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
232,Forward Price The delivery price in a forward contract that causes the contract to be worth zero. ,Forward Price,,,The delivery price in a forward contract that causes the contract to be worth zero.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
233,Forward Rate Rate of interest for a period of time in the future implied by today's zero rates. ,Forward Rate,,,Rate of interest for a period of time in the future implied by today 's zero rates.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
234,Forward Rate Agreement (FRA) Agreement that a certain interest rate will apply to a certain principal amount for a certain time period in the future. ,Forward Rate Agreement,FRA,,Agreement that a certain interest rate will apply to a certain principal amount for a certain time period in the future.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
235,Forward Risk-Neutral World A world is forward risk-neutral with respect to a certain asset when the market price of risk equals the volatility of that asset. ,Forward Risk-Neutral World,,,A world is forward risk-neutral with respect to a certain asset when the market price of risk equals the volatility of that asset.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
236,Forward Start Option An option designed so that it will be at-the-money at some time in the future. ,Forward Start Option,,,An option designed so that it will be at-the-money at some time in the future.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
237,Forward Swap See Deferred Swap. ,Forward Swap,,,See Deferred Swap. ,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
238,Funding Value Adjustment (FVA) Adjustment made to the price of a derivative for funding costs. ,Funding Value Adjustment,FVA,,Adjustment made to the price of a derivative for funding costs.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
239,Futures Commission Merchants Futures traders who are following instructions from clients. ,Futures Commission Merchants,,,Futures traders who are following instructions from clients.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
240,Futures Contract A contract that obligates the holder to buy or sell an asset at a predetermined delivery price during a specified future time period. The contract is settled daily. ,Futures Contract,,,A contract that obligates the holder to buy or sell an asset at a predetermined delivery price during a specified future time period. The contract is settled daily.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
241,Futures Option An option on a futures contract. ,Futures Option,,,An option on a futures contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
242,Futures Price The delivery price currently applicable to a futures contract. ,Futures Price,,,The delivery price currently applicable to a futures contract.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
243,Futures-Style Option Futures contract on the payoff from an option. ,Futures-Style Option,,,Futures contract on the payoff from an option.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
244,Gamma The rate of change of delta with respect to the asset price. ,Gamma,,,The rate of change of delta with respect to the asset price.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
245,Gamma-Neutral Portfolio A portfolio with a gamma of zero. ,Gamma-Neutral Portfolio,,,A portfolio with a gamma of zero.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
246,GAP Management Procedure for matching the maturities of assets and liabilities. ,GAP Management,,,Procedure for matching the maturities of assets and liabilities.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
247,Gap Option European call or put option where there are two strike prices. One determines whether the option is exercised. The other determines the payoff. ,Gap Option,,,European call or put option where there are two strike prices. One determines whether the option is exercised. The other determines the payoff.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
248,GARCH Model A model for forecasting volatility where the variance rate follows a mean-reverting process. ,GARCH Model,,,A model for forecasting volatility where the variance rate follows a mean-reverting process.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
249,"Gaussian Copula Model A model for defining a correlation structure between two or more variables. In some credit derivatives models, it is used to define a correlation structure for times to default. ",Gaussian Copula Model,,,"A model for defining a correlation structure between two or more variables. In some credit derivatives models , it is used to define a correlation structure for times to default.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
250,Gaussian Quadrature Procedure for integrating over a normal distribution. ,Gaussian Quadrature,,,Procedure for integrating over a normal distribution.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
251,Generalized Wiener Process A stochastic process where the change in a variable in time t has a normal distribution with mean and variance both proportional to t. ,Generalized Wiener Process,,,A stochastic process where the change in a variable in time t has a normal distribution with mean and variance both proportional to t.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
252,Geometric Average The nth root of the product of n numbers. ,Geometric Average,,,The nth root of the product of n numbers.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
253,Geometric Brownian Motion A stochastic process often assumed for asset prices where the logarithm of the underlying variable follows a generalized Wiener process. ,Geometric Brownian Motion,,,A stochastic process often assumed for asset prices where the logarithm of the underlying variable follows a generalized Wiener process.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
254,"Girsanov's Theorem Result showing that when we change the measure (e.g., move from real world to risk-neutral world) the expected return of a variable changes but the volatility remains the same. ",Girsanov 's Theorem,,,"Result showing that when we change the measure (e.g. , move from real world to risk-neutral world) the expected return of a variable changes but the volatility remains the same.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
255,"Greeks Hedge parameters such as delta, gamma, vega, theta, and rho. ",Greeks,,,"Hedge parameters such as delta , gamma , vega , theta , and rho.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
256,Guaranty Fund Fund to which members of an exchange or CCP contribute. It may be used to cover losses in the event of a default. ,Guaranty Fund,,,Fund to which members of an exchange or CCP contribute. It may be used to cover losses in the event of a default.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
257,Haircut Discount applied to the value of an asset for collateral purposes. ,Haircut,,,Discount applied to the value of an asset for collateral purposes.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
258,Hazard Rate Measures probability of default in a short period of time conditional on no earlier default. ,Hazard Rate,,,Measures probability of default in a short period of time conditional on no earlier default.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
259,HDD Heating degree days. The maximum of zero and the amount by which the daily average temperature is less than 65 ,HDD,,,Heating degree days. The maximum of zero and the amount by which the daily average temperature is less than 65,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
261,Hedge A trade designed to reduce risk. ,Hedge,,,A trade designed to reduce risk.,"Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
262,"Hedge Funds Funds that are subject to less regulation and fewer restrictions than mutual funds. They can take short positions and use derivatives, but they cannot publicly offer their securities. ",Hedge Funds,,,"Funds that are subject to less regulation and fewer restrictions than mutual funds. They can take short positions and use derivatives , but they can not publicly offer their securities.","Hull, John C. - Options, futures and other derivatives, 9th ed. (2013)"
